"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-15",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-16",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-17",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-18",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-19",,,"0.99",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-20",,,"0.11",
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-21",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-22",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-23",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-24",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-25",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-26",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-27",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-28",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-29",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-30",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-03-31",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-04-01",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-04-02",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-04-03",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-04-04",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-04-05",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-04-06",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-04-07",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-04-08",,,"0.00","0.0"
"US1AZMR0271","PEORIA 7.5 ENE, AZ US","2015-04-09",,,"0.00","0.0"
